2025-07-30 18:11:13 - FeatureEng-20250730_181113 - INFO - ========== Running Command: gen-feats ==========
2025-07-30 18:11:13 - FeatureEng-20250730_181113 - INFO - Args: {'command': 'gen-feats', 'funcs': None, 'trans': None, 'base_file': None}
2025-07-30 18:11:13 - FeatureEng-20250730_181113 - INFO - =======================================
2025-07-30 18:11:13 - FeatureEng-20250730_181113 - INFO - Loading data...
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - Original data loaded successfully.
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - X_train shape: (23715734, 2)
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - y_train shape: (10001, 1)
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - Loading enhancement data with IDs: ['0']
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - Total datasets loaded: 1
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - Dataset 0: X shape (23715734, 2), y shape (10001, 1)
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - 输入为字典格式，包含数据ID: ['0']
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - 未指定特征函数，将运行所有 9 个非实验性特征。
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - 未找到基础特征文件，将创建全新的特征集。
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - 为数据ID '0' 创建新的特征DataFrame，包含 10001 个样本
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - 基础特征字典包含数据ID: ['0']
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO -   数据ID '0': (10001, 0)
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - === 开始为数据ID '0' 生成特征 ===
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - --- 开始时序分解（数据ID: 0） ---
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - --- 开始应用变换函数: no_transformation ---
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - 'no_transformation' 变换完毕，耗时: 0.00 秒，生成模态: ['RAW']
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - 分解完成，共生成 1 个模态: ['RAW']
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - === 开始为数据ID '0' 的模态 'RAW' 生成特征 ===
2025-07-30 18:11:16 - FeatureEng-20250730_181113 - INFO - --- 开始生成特征: distribution_stats_features ---
2025-07-30 18:19:40 - FeatureEng-20250730_181113 - INFO - 'distribution_stats_features' 生成完毕，耗时: 503.97 秒。
